timestamp,gasX,gasY,gasZ
0,0.126707,0.132516,0.135026
100,0.121338,0.122416,0.128905
200,0.106146,0.105838,0.109913
300,0.121308,0.120642,0.126021
400,0.142859,0.142292,0.139167
500,0.113019,0.114369,0.111243
600,0.127867,0.132219,0.129128
700,0.115725,0.118754,0.117024
800,0.133917,0.134583,0.131433
900,0.120494,0.119633,0.130007
1000,0.090973,0.097918,0.098627
1100,0.116757,0.118600,0.115428
1200,0.101240,0.108719,0.113823
1300,0.124491,0.127075,0.120945
1400,0.110307,0.108720,0.110884
1500,0.121340,0.124754,0.124931
1600,0.104532,0.103285,0.104663
1700,0.139381,0.129953,0.132841
1800,0.115683,0.116759,0.115154
1900,0.125475,0.124078,0.127601
2000,0.116748,0.120182,0.120135
2100,0.115739,0.112894,0.109591
2200,0.121457,0.115367,0.118656
2300,0.119706,0.117602,0.118604
2400,0.119368,0.118518,0.117397
2500,0.109523,0.109007,0.111246
2600,0.121575,0.118296,0.118828
2700,0.107311,0.108290,0.110100
2800,0.123379,0.120011,0.121200
2900,0.111980,0.116753,0.113922
3000,0.101168,0.104824,0.098395
3100,0.115064,0.115321,0.117995
3200,0.105074,0.110386,0.104180
3300,0.124136,0.123584,0.111500
3400,0.113559,0.109722,0.110543
3500,0.133998,0.128573,0.129576
3600,0.112655,0.106591,0.110593
3700,0.120053,0.117715,0.117477
3800,0.127401,0.130227,0.122982
3900,0.129063,0.137829,0.132896
4000,0.116885,0.110030,0.113826
4100,0.116637,0.117941,0.119880
4200,0.128152,0.128890,0.132398
4300,0.110347,0.109266,0.110527
4400,0.107894,0.104053,0.100130
4500,0.123951,0.128635,0.120599
4600,0.125023,0.129958,0.123434
4700,0.119876,0.121932,0.121227
4800,0.119786,0.111897,0.112560
4900,0.115385,0.109903,0.106135
5000,0.133721,0.138063,0.142671
5100,0.124657,0.121649,0.124809
5200,0.108608,0.107241,0.103026
5300,0.110953,0.111752,0.109490
5400,0.114659,0.111813,0.114781
5500,0.106498,0.109789,0.106042
5600,0.125257,0.125026,0.121626
5700,0.105614,0.103229,0.097172
5800,0.123587,0.119999,0.123949
5900,0.121454,0.120439,0.125030
6000,0.129682,0.131333,0.133296
6100,0.125830,0.129608,0.126431
6200,0.146881,0.143012,0.145609
6300,0.125370,0.118275,0.118606
6400,0.109106,0.106978,0.104493
6500,0.135253,0.131028,0.134732
6600,0.100423,0.105775,0.098650
6700,0.119727,0.113526,0.117039
6800,0.106341,0.107029,0.112513
6900,0.103760,0.105718,0.105741
7000,0.100208,0.104853,0.101177
7100,0.125153,0.122642,0.125676
7200,0.138089,0.133303,0.139971
7300,0.127535,0.124657,0.120632
7400,0.126282,0.120823,0.126017
7500,0.144573,0.145040,0.146851
7600,0.117189,0.115807,0.115993
7700,0.114820,0.113181,0.123092
7800,0.108055,0.115446,0.111462
7900,0.135201,0.131446,0.136001
8000,0.110510,0.118477,0.106260
8100,0.105239,0.114387,0.110707
8200,0.111195,0.108764,0.103101
8300,0.112550,0.103495,0.110780
8400,0.109515,0.109945,0.114118
8500,0.122656,0.121097,0.123380
8600,0.129793,0.130077,0.124026
8700,0.135568,0.138827,0.131238
8800,0.115074,0.115607,0.122011
8900,0.140315,0.135246,0.135903
9000,0.126007,0.123957,0.121805
9100,0.124762,0.131829,0.126216
9200,0.122181,0.126725,0.127072
9300,0.129306,0.123975,0.129591
9400,0.111758,0.109328,0.110714
9500,0.111131,0.109170,0.108197
9600,0.109459,0.113354,0.106933
9700,0.126824,0.122868,0.122731
9800,0.112125,0.107432,0.109324
9900,0.099238,0.104244,0.108567
10000,0.127728,0.130037,0.129779
10100,0.125544,0.126176,0.126794
10200,0.109766,0.113387,0.113284
10300,0.124359,0.120855,0.117416
10400,0.128652,0.122448,0.127624
10500,0.122360,0.121087,0.120144
10600,0.118689,0.117432,0.119446
10700,0.115382,0.118249,0.117074
10800,0.134423,0.137043,0.134104
10900,0.113177,0.114022,0.121303
11000,0.128472,0.128720,0.133224
11100,0.121698,0.122197,0.125519
11200,0.116614,0.116193,0.117542
11300,0.110825,0.115124,0.114961
11400,0.116933,0.119453,0.115193
11500,0.112908,0.117389,0.112401
11600,0.120183,0.123365,0.124942
11700,0.102643,0.099899,0.106163
11800,0.143623,0.140052,0.132256
11900,0.138187,0.131907,0.138318
12000,0.124134,0.124862,0.122554
12100,0.112003,0.113844,0.108004
12200,0.112962,0.109356,0.117222
12300,0.124784,0.121584,0.125897
12400,0.114643,0.121218,0.120103
12500,0.116703,0.115089,0.117063
12600,0.117625,0.116149,0.117629
12700,0.126370,0.117215,0.121467
12800,0.127341,0.130111,0.127230
12900,0.126564,0.126630,0.121507
13000,0.138741,0.136604,0.133651
13100,0.124962,0.126353,0.119385
13200,0.117955,0.115686,0.115460
13300,0.132156,0.129922,0.131074
13400,0.118611,0.118530,0.119325
13500,0.132023,0.137015,0.136295
13600,0.134544,0.132692,0.132427
13700,0.115873,0.121375,0.115784
13800,0.104022,0.101386,0.103519
